ID,Country,psat_cr,psat_m,psat_w,psat_tot,igcse_lit,igcse_fle,igcse_m
74,Zimbabwe D,42,48,42,132,52,48,145
75,Zimbabwe D,48,41,52,141,52,70,121
76,Zimbabwe D,42,52,51,145,66,70,136
77,Zimbabwe D,39,37,39,115,49,55,107
78,Zimbabwe D,43,64,51,158,52,73,182
79,Zimbabwe D,49,50,45,144,46,71,117
80,Zimbabwe D,40,45,43,128,50,73,137
81,Zimbabwe D,47,45,49,141,64,59,121
82,Zimbabwe E,46,53,52,151,62,61,148
83,Zimbabwe E,41,48,43,132,49,43,124
84,Zimbabwe E,41,58,53,152,63,59,157
85,Zimbabwe E,41,48,42,131,69,57,131
86,Zimbabwe E,41,49,49,139,46,58,121
87,Zimbabwe E,39,42,43,124,53,51,91
88,Zimbabwe E,27,21,43,91,46,43,82
89,Zimbabwe E,34,37,32,103,42,55,103
90,Zimbabwe E,39,47,41,127,76,69,124
91,Zimbabwe E,40,42,43,125,51,67,98
175,Zimbabwe F,44,37,48,129,59,69,111
176,Zimbabwe F,48,39,41,128,71,66,114
177,Zimbabwe F,71,64,75,210,91,83,196
178,Zimbabwe F,49,61,57,167,66,74,190
179,Zimbabwe F,57,42,45,144,59,74,145
180,Zimbabwe F,51,52,51,154,56,78,177
181,Zimbabwe F,66,60,60,186,65,72,162
182,Zimbabwe F,60,62,58,180,51,65,179
183,Zimbabwe F,53,52,57,162,69,76,146
184,Zimbabwe F,46,56,48,150,66,66,157
185,Zimbabwe F,45,52,42,139,78,58,165
186,Zimbabwe F,64,52,56,172,86,66,126
187,Zimbabwe F,35,30,36,101,50,44,107
188,Zimbabwe F,63,48,56,167,69,88,147
189,Zimbabwe F,62,50,52,164,67,72,125
190,Zimbabwe G,44,49,41,134,75,73,123
191,Zimbabwe G,38,48,37,123,60,69,148
192,Zimbabwe G,40,45,38,123,66,61,122
193,Zimbabwe G,39,44,45,128,62,64,130
194,Zimbabwe G,49,52,45,146,65,70,145
195,Zimbabwe G,44,53,41,138,51,58,147
196,Zimbabwe G,38,42,41,121,70,57,132
197,Zimbabwe G,42,52,47,141,65,62,141
198,Zimbabwe G,44,62,48,154,60,64,164
